Date,Label,URL,Image URL,Title,Synopsis,Ball Size,,,,,
DD-Dec,christian-andersen,https://www.youtube.com/watch?v=K4cZRxlmcxQ&index=5&list=PLcvEcrsF_9zLF0cV-cqD4E4mLDy7_uMHz,http://ichef.bbci.co.uk/images/ic/raw/p03gz4l0.jpg,The Snowdrop by Hans Christian Andersen,"On this day in 1835, Hans Christian Andersen published his first book of fairytales. Watch The Snowdrop, one of 100s of BBC Teach clips available in RES. It’s the middle of winter, the wind howls, everything seems dead. But under the earth a little snowdrop bulb is stirring. ",,,,,,
DD-Dec,st-pauls,,http://lintilla.hexten.net/search?q=ST+PAULS+CATHEDRAL#/asset/var/slice/310/28c/4046985e51256ec07f490a6574cb66e9f8.jpg,Snow in London – St Paul’s Cathedral,"On this day in 1697, St Paul's Cathedral, designed by Sir Christopher Wren, was consecrated for use, after being rebuilt following the Great Fire of London. This snowy scene is one of 1000s of BBC images available in RES.",,,,,,
DD-Dec,troilus-and-cressida,http://shakespeare.ch.bbc.co.uk/detail?uri=http%3A%2F%2Fdbpedia.org%2Fresource%2FTroilus_and_Cressida,Image supplied,Troilus and Cressida,"On this day in 1954, William Walton's opera Troilus and Cressida premiered in London. RES offers hundreds of AV resources from the BBC's Shakespeare Archive. This was the first BBC Radio broadcast of this play for 20 years, with Paterson Joseph, Nikki Amuka-Bird and Derek Griffiths. ",,,,,,
DD-Dec,xmas-truce,https://www.youtube.com/watch?v=WNCxkA_zfMs&list=PLcvEcrsF_9zK-7e-OKsQ9vW1F3H4Bdq3Z&index=17,http://ichef.bbci.co.uk/images/ic/raw/p01t61hg.jpg,The Christmas Truce of 1914,"On this day in 1915 Henry Ford's peace ship sailed to Europe ""to get the boys out of the trenches"". Watch this Great War Interview with British soldier Henry Williamson as he recalls first-hand his experiences in the trenches in WW1, including talking and exchanging gifts with the Germans during an informal Christmas truce. This is one of 100s of BBC Teach clips available in RES.",,,,,,
DD-Dec,timon-of-athens,http://shakespeare.ch.bbc.co.uk/detail?uri=http%3A%2F%2Fdbpedia.org%2Fresource%2FTimon_of_Athens,Image supplied,Timon of Athens,"On this day in 1993, Shakespeare's Timon of Athens closed at the Lyceum Theatre in New York after 37 performances. In this 1981 classic BBC TV production, Jonathan Pryce stars as the misanthropist Timon. Discover 100s more TV and radio adaptations from the BBC's Shakespeare Archive of all 37 Shakespeare plays in RES.",,,,,,
DD-Dec,charles-darwin,http://wellcomelibrary.org/item/b28124339#?c=0&m=0&s=0&cv=0&z=-1.3434%2C-0.0933%2C3.6867%2C1.8654,http://wellcomelibrary.org/item/b28124339#?c=0&m=0&s=0&cv=674&z=-0.2093%2C0.2301%2C1.4185%2C0.7177,Voyage of HMS Beagle,On this day in 1833 Charles Darwin continued his 5 year scientific expedition around South America developing his theories of evolution. This description of fossil shells is from the Wellcome Library's digitised collection of Darwin's geological observations during the voyage of H.M.S. 'Beagle'. This is one of millions of data items from the Wellcome Collection indexed by RES.,,,,,,
DD-Dec,royal-opera-house,,http://lintilla.hexten.net/search?q=royal+opera+house#/asset/var/slice/691/1e0/84555c9bc34dde6d59001a39f4908a4c50.jpg,Royal Opera House,"On this day in 1732 the Royal Opera House opened in Covent Garden, London. This is one of 1000s of BBC images available in the Research and Education Space.",,,,,,
DD-Dec,alec-guinness,https://vimeo.com/193701349,http://elvis.national.core.bbc.co.uk/pop.php/203813?acno=22342723,Alec Guinness,"On this day in 1955, Black Ealing comedy ""The Ladykillers"" starring Alec Guinness was released in the UK. From the BBC Shakespeare Archive listen to a clip of Guinness playing King Lear for the first time in this1974 BBC Radio adaptation. This is one of hundreds of online resources available in RES.",,,,,,
DD-Dec,judi-dench,http://shakespeare.ch.bbc.co.uk/search?q=judi+dench&lang=en,https://shakespeare.acropolis.org.uk/images/4040698/player/large.jpg,Dame Judi Dench,"Happy Birthday to Dame Judi Dench who is 81 today. Here a young Judi Dench plays Katherine, Princess of France The Band of Brothers, in the 1960 production of BBC series An Age of Kings.This is one of over a 1000 images from the BBC Shakespeare Archive available on the Research and Education Space. ",,,,,,
DD-Dec,traffic-lights,,http://lintilla.hexten.net/search?q=palace+of+westminster#/asset/var/slice/198/3a0/fcabba477bb49ee368c151bd8e3fbd787a.jpg,First traffic lights installed outside Palace of Westminster,"In December 1868, the first traffic lights were installed outside the Palace of Westminster in London. Resembling railway signals, they used semaphore arms and were illuminated at night by red and green gas lamps. Here is a view of the Palace in December 2009 following the heaviest snowfall for nearly twenty years. This is one of thousands of BBC images available in RES.  ",,,,,,
DD-Dec,royal-christmas-traditions,https://www.youtube.com/watch?v=wc6IxjQrWFw,http://ichef.bbci.co.uk/images/ic/raw/p011wdrw.jpg,Royal Christmas traditions,"As we start to deck the halls with boughs of holly, this clip re-enacts Queen Victoria and Prince Albert telling us about Christmas in their royal household, where many Christmas traditions were started. This is one of 100s of BBC Teach clips available on the Research and Education Space.",,,,,,
DD-Dec,guglielmo-marconi,https://www.youtube.com/watch?v=cJISusw6cJU,http://ichef.bbci.co.uk/images/ic/raw/p019cw8x.jpg,Marconi's invention of wireless communication  ,"On this day in 1901, Guglielmo Marconi sent the first transatlantic radio signal, from Cornwall to Canada. Watch this physics clip from BBC series The Genius of Invention to find out more about this major scientific invention of the first wireless communication. This is one of hundreds of BBC Teach clips available in RES. ",,,,,,
DD-Dec,christopher-plummer,https://vimeo.com/193702894,Image supplied,Christopher Plummer,Happy Birthday to Christopher Plummer who is 86 today. Here he plays Hamlet in this 1964 BBC/ Danish Television co-production of Shakespeare's famous tragedy filmed at Denmark's Kronborg Castle in Elsinore. This is just one of a fantastic selection of TV and radio productions from the BBC's Shakespeare Archive available on RES.  ,,,,,,
DD-Dec,space-walk,https://www.youtube.com/watch?v=tWW_CDYKqGE&t=9s,Image supplied,Space: The last men to walk on the moon,"On 14 December 1972 Harrison Schmitt and Eugene Cernan become the last men to walk on the moon during the Apollo 17 mission. Watch this primary science clip in which 3 young stargazers meet a pair of astronauts and learn about launching rockets, weightlessness, and life in space. This is one of hundreds of BBC Teach clips available in RES. ",,,,,,
DD-Dec,love's-labour's-lost,http://shakespeare.ch.bbc.co.uk/detail?uri=http%3A%2F%2Fdbpedia.org%2Fresource%2FLove%27s_Labour%27s_Lost,Image supplied,Love's Labour's Lost,"William Shakespeare mentions Christmas only three times in his work, twice in Love’s Labour’s Lost and once in The Taming of the Shrew. In this BBC TV production of Love's Labour's Lost, the reference to Christmas is spoken by Berowne, played by Jeremy Brett: ""At Christmas I no more desire a rose/ Than wish a snow in May’s new-fangled shows"". Can you also spot a young Martin Shaw in the background? There are over 1000 BBC Shakespeare images  available in RES.",,,,,,
DD-Dec,henry-vi,http://shakespeare.ch.bbc.co.uk/detail?uri=http%3A%2F%2Fdbpedia.org%2Fresource%2FHenry_VI%2C_Part_1,Image supplied,Henry VI,"On this day in 1431, King Henry VI of England was crowned King of France.  This 1983 BBC TV production of Henry VI Part 1 stars Brenda Blethyn and Anthony Brown. RES has made 100s of AV resources from the BBC's Shakespeare Archive available to enhance the teaching of his plays, poems and sonnets. ",,,,,,
DD-Dec,pantomime,https://www.youtube.com/watch?v=xc9PD2xC50c,Image supplied,Pantomime,"Behind you! Yes, it's that pantomime time of year again. Watch this maths clip in which Buttons and the Ugly Sisters get into a mathematical challenge in the Panto House. This is one of hundreds of BBC Teach clips available in RES. Oh no it isn't! Oh yes it is!",,,,,,
DD-Dec,the-nutcracker,https://www.youtube.com/watch?v=CFHkrpUn9hs,http://ichef.bbci.co.uk/images/ic/raw/p016nbky.jpg,The Nutcracker,"On this day in 1892, Tchaikovsky's ballet, the Nutcracker Suite premiered.Watch this physical education clip from BBC Teach showing street dance crew FFRES performing to traditional ballet music from the Nutcracker. This is one of hundreds of BBC Teach clips available in RES.",,,,,,
DD-Dec,a-christmas-carol,https://www.bl.uk/works/a-christmas-carol ,https://www.bl.uk/britishlibrary/~/media/bl/global/english-online/collection-items-manual/d/i/c/dickens charles first b20150-35.jpg,A Christmas Carol - first edition,"A Christmas Carol in Prose, Being a Ghost Story of Christmas, to give the work its full title, was Charles Dickens’ first Christmas book published on 19 December 1843. The initial print run of 6,000 copies sold out within a matter of days. This is one of millions of data items from the British Library that are being indexed by RES. ",,,,,,
DD-Dec,reindeer,,http://lintilla.hexten.net/search?q=christmas+reindeer#/asset/var/slice/2a2/408/264ec951014041829e8b64b7d902d554c1.jpg,Reindeer,"Reindeer, or caribou, can outperform all other land animals in their energy efficiency - so are a fitting choice as the legendary Christmas sleigh-pullers! The Cairngorm Reindeer herd are Britain's only herd of reindeer found free ranging in the Cairngorm Mountains, Scotland. This is one of 1000s of BBC images available in RES. ",,,,,,
DD-Dec,david-attenborough,,,David Attenborough,"To celebrate television naturalist Sir David Attenborough's first appearance on BBC television in Zoo Quest, which began on 21 December 1954, we are excited to be bringing content from BBC Wildlife to the Research and Education Space.",,,,,,
DD-Dec,christmas-lights,,http://elvis.national.core.bbc.co.uk/pop.php/203813?acno=16756679,Christmas Lights,"On this day in 1882, the first string of Christmas tree lights were created by Thomas Edison. This is one of 1000s of BBC images available in the Research and Education Space.",,,,,,
DD-Dec,Emma,http://www.bl.uk/romantics-and-victorians,https://www.bl.uk/britishlibrary/~/media/bl/global/english-online/collection-item-images/q/u/a/quarterly review b20101 47.jpg,Emma,On this day in 1815 Jane Austen's Emma was published. Explore the British Library's greatest literary treasures from the Romantic and Victorian periods in their Discovering Literature collection now being indexed by RES.,,,,,,
DD-Dec,a-christmas-carol-2,https://www.youtube.com/watch?v=MT3poUY0dLg&list=PLcvEcrsF_9zIajHrH8fQuherWuWxFzrH0,Image supplied,A Christmas Carol: Marley's Ghost,"It's Christmas Eve and for Ebenezer Scrooge everything is 'humbug'. Watch Marley's Ghost, one of the 100s of clips from BBC Teach now available in the Research and Education Space. ",,,,,,
